joke,category,title
"Du kelių policininkai tikrina susistabdę vargšelį zapuko vairuotoją. Staigia iš toli baisiu greičiu atlekia naujas, galingas džipas. Vienas policininkas šoka jo stabdyti. Džipas sustoja už puskilometrio, paskui atbulas privažiuoja prie policininkų. Lėtai atsidaro langas ir pro jį išlenda vos į tą langą telpantis piktas veidas.
- Tu stabdei, žąsine?! - pasiteirauja vairuotojas.
- Ne, ne aš, - išsigąsta policininkas.
- Tai gal tu? - klausia jis kito pareigūno.
- Ne, aš nestabdžiau, - puola atsikalbinėti ir antras.
- Klausykit, vyrukai, geriau jau grąžinkit man teises, - staiga pareiškia zapuko vairuotojas, - arba aš pasakysiu, kuris stabdė.",anekdotai,"Du,kelių,policininkai,tikrina,susistabdę"
"Anglijos karalius pašaukia Lietuvį, Anglą, Rusą ir sako:
-atsineškit po savo geriausia ginklą.
Lietuvis atsineša pistoletą, Anglas automatą, o Ruso kaip nėra taip nėra.Anglijos karalius sako:
-Dabar susikiškit į šikną.
Lietuvis up ir susikišo, Anglas kišdamasis verkia, juokiasi, verkia juokiasi. Anglijos karalius klausia:
-kodėl tu verki ir juokiesi.
Anglas atsako:
-verkiu nes skauda, o juokuosiu, nes rusas atvažiuoja su tanku. :DDDDDDDDD",anekdotai,"Anglijos,karalius,pašaukia,Lietuvį,,Anglą,"
"Grįžta Petriukas iš mokyklos ir verkia:
- Mama-a, o vaikai iš manęs juokias, kad mano dideli dantys.
- Neverk, Petriuk, jie meluoja, tik tu nevaikščiok išsižiojęs, nes parketą braižai.",anekdotai,"Grįžta,Petriukas,iš,mokyklos,ir"
"Mama Petriukui: 
-Eime Petriuk tavo pimpaliuko prausti 
Petriukas: 
-Noriu kad močiute plautų! 
Mama: 
-Kodėl Petriuk?? 
Petriukas: 
-Močiutės rankos labiau dreba..",anekdotai,"Mama,Petriukui:,-Eime,Petriuk,tavo"
"Atvaro vaikinukas į vaistinę:
- Duokit porą prezervatyvų.
Vaistininkas:
-Prašom. Matyt karšta naktis laukia?
- Ai, panašiai, varau su panos šeima susipažinti, šiaip mes pastoviai keletą kartų pasimylim progai pasitaikius. Bendrai duokit dar vieną, ten jos sesutė irgi nebloga, pabandysiu užbraukti. Ai, duokit ir dar vieną, mamytę mačiau, tai tokia visai vartotina, galbūt ir su ja kas nors išeis.
Vakare vaikinukas atvaro pas panikę. Ta visa patenkinta nuveda jį į svetainę, ten nukrautas stalas, visa šeima aplink susėdus. Vaikinukas tik klest į kėdę, nuleido galvą ir pradėjo melstis. Pana, visa apšalus:
- O tu man nesakei, kad esi toks religingas.
- O tu man nesakei, kad tavo tėvas vaistininkas...",anekdotai,"Atvaro,vaikinukas,į,vaistinę:,-"
"Moteris sėdi parke ant suoliuko. Prie jos prieina valkata ir pabučiuoja.
-Ką jūs darote? - įsiunta moteris. -Aš juk ne jūsų mylimoji!
-Tai ką tada veiki mano lovoje?",anekdotai,"Moteris,sėdi,parke,ant,suoliuko."
"Bankas, vidurys dienos, klientų daug, darbas tiesiog verda. Staiga į banką įsirauna kvadratinis bičas su kauke ir automatu rankoj:
- VISIEM GULĖT!!!!!
Visi paklusniai sugula ant žemės. Bičiukas mostelna iš baimės perbalusiai kasininkei:
- O tu žertva eini čia ir﻿ čiulpi mano pifą.
Mergina drebėdama klusniai vykdo nurodymus. Patenkintas plėšikas nusiima kaukę:
- Nu va, o namuose „mes“ negalim! Namuose „mus“ pykina!..",anekdotai,"Bankas,,vidurys,dienos,,klientų,daug,"
"Girdėjau angliškai, todėl kai kuriuos žodžius būtent tokius ir pavartosiu. 

Atvaro žurnalistai pas čiukčius, na ir klausinėja genties vado:
 - Didysis vade, jūs gyvenate didingoje ir labai gražioje šalyje, kuri yra toli nuo šalies, iš kurios aš atvykau, o jūsų civilizacija mums mįslinga ir paslaptinga. Gal galėtumėte trumpai papasakoti, ką jūsų žmonės paprastai veikia vasaros metu? 
Didysis vadas susimastęs tylėjo 5 minutes. Galų gale, jis atsikosėjo ir trumpai atsakė:
 - Fishing and fucking. 
Žuranlistė, paraudus ir truputį pasimetus, klausia:
 - Na, o ką jūs veikiat žiemą? 
Didysis vadas susimastes tylėjo 10 minuąių. Galų gale, jis atsikosėjo ir trumpai atsakė:
 - No fishing...",anekdotai,"Girdėjau,angliškai,,todėl,kai,kuriuos"
"-Kodėl jūsų restorane neišgalasti peiliai?
-Kol maistas toks neskanus ir toks brangus, oficiantai atsisako dirbti jei pas lankytojus bus aštrūs peiliai.",anekdotai,"-Kodėl,jūsų,restorane,neišgalasti,peiliai?"
"Kas geriausiai zino daktariskos desros skoni?
Ogi Henriko Daktaro zmona.",anekdotai,"Kas,geriausiai,zino,daktariskos,desros"
"Petriukas stovi lauke ir rūko. Prie jo prieina senyva moteriškė ir piktai klausia:
- Berniuk, o tavo tėvai žino, kad rūkai?
- O jūsų vyras žino, kad jūs gatvėje kabinėjatės prie nepažįstamų vyrų?",anekdotai,"Petriukas,stovi,lauke,ir,rūko."
"Vietiniame Raudonojo Kryžiaus (RK) biure buvo atlikta “inventorizacija” ir darbuotojai pamatė, kad daugiausiai uždirbantis miesto teisininkas visai neaukoja labdarai. 
Greitai pasitarus buvo nuspręsta situaciją pakeisti į gerąją pusę – pas teisininką apsilankė RK atstovas ir pradejo savo litaniją:
 - Mūsų duomenimis per metus jūs uždirbate apie 2 mln. litų, tačiau nė cento neaukojate labdarai. Galbūt norėtumėtė paaukoti kilniams mūsų tikslui? 
Teisininkas mažumėlę pamąstė ir paklausė RK atstovo:
 - O ar jūsų duomenyse yra faktas, kad mano motina miršta po ilgos ligos ir kad jos skolos ligoninei viršija mano keleto metų pajamas? 
 - Naaa… ne,  - atsakė susigėdęs RK atstovas. 
 - O ar žinote, kad mano brolis tapo invalidu – aklu karo veteranu? 
RK atstovas jau pradėjo ruošti graudžią atsiprašymo kalbą, tačiau nespėjo. 
 - Be to, ar žinote, kad mano sesers vyras žuvo autokatastrofoje ir paliko ją su 3 vaikais ir be jokių santaupų??!! – pakeltu balsu paklausė teisininkas. 
RK atstovas po nosim sumurmėjo kažką panašaus į “atleiskite… nežinojome…”, tačiau teisininkas vėl jį pertraukė:
 - Taaaigi, jeigu aš neduodu savo pinigų jiems, tai KURIŲ VELNIŲ TURĖČIAU DUOTI PINIGŲ JUMS???!!",anekdotai,"Vietiniame,Raudonojo,Kryžiaus,(RK),biure"
"Skrenda uodas ir vos jau paskrenda, kraujo trūkumas didžiausias, o žmonių nei vieno. Iš priekio skrenda vampyras, o vampyro visas snukis kruvinas. Uodas: - Tu kur čia taip suspėjai? Vampyras: - Matai tą pastatą? - rodydamas pirštu - Nu jo, matau... - O aš bl*t nepamačiau...",anekdotai,"Skrenda,uodas,ir,vos,jau"
"- Ryte, kai suskamba žadintuvas, jaučiuosi taip, lyg į mane šaudytų.
- Iškart pašoki?
- Ne, guliu kaip užmuštas.",anekdotai,"-,Ryte,,kai,suskamba,žadintuvas,"
"Čiukčia priėjo prie kioskelio ir sako:
- Man du troleibuso bilietus.
- Kam tau du? - paklausė pardavėja.
- Jei vieną pamesiu, kitą pasiimsiu.
- O jei ir tą pamesi?
- Čiukčia nedurnas, čiukčia nulatinį turi.",anekdotai,"Čiukčia,priėjo,prie,kioskelio,ir"
"Atbėga mažasis Vovačka pas mamą. Mama užsiėmus,tvarkosi,laukia svečių. 
Vova:
- Mama mama!!! Nori eilėraštuką pasakysiu? 
Mama:
- Vovačka palauk, tuoj svečiai ateis prie jų galėsi pasakyti. 
Na po kiek laiko susirenka svečiai, visi tvarkingai susėda, mama atneša kėdę,pastato ant jos Vova ir garsiai paskelbia, kad jos atžala dabar padeklamuos eilėraštuką. Visi nutyla. O Vovačka pradeda deklamuoti:
Moja mama vertaliot - vsem dajot a pape vot (parodo špygą)
Tėvas susinervina: - Sūnau ką čia šneki kaip tu drįsti taip kalbėti????? 
Vova:
- Papa tože vertaliot - Vsex jebiot a mame vot (parodo špygą)
Sesutė Lena:
- Vova Vova,raminkis! kaip tu čia prie svečių kalbi??? 
Vova:
- Lena tože vertaliot - Kurit pjot i v rot beriot. 
Tada auklėti bando bobutė,bet ir vėl Vovačka randa ką pasakyti:
- Baba tože vertaliot - atjebalas smerti ždiot. 
Neiškentęs diedukas pradeda kažką veblenti. Vova:
- Died tože vertaliot - Xuj vesyt a tolku vot (vėl rodo špygą)
Na pagaliau Vova buvo nukeltas nuo kėdės,nuvestas į kambarį ir paguldytas lovon... 
Vova:
- Vova tože vertaliot - napizdel i spat idiot.",anekdotai,"Atbėga,mažasis,Vovačka,pas,mamą."
"Turėjo žmogus papūgą, kuri labai mėgdavo kalbėti telefonu. Išvažiuodamas atostogauti dviem savaitėms, griežtai paliepė nekalbėti telefonu. Ir ką jūs manot, grįžęs po dviejų savaičių, gauna 800,00 litų sąskaitą už telefoninius pokalbius. Supykęs žmogelis nutaria nubausti papūgą ir už sparnų dviem savaitėm prikala prie sienos. Kabo papūga ir mato: šalia kabo kryžius su nukryžiuotoju Jėzum ir sako jam:
-Ir už ką tave čia prikalė?
-Ai, vakeli, aš čia jau du tūkstančius metų prikaltas...
-Tai @@@@ tau kur tiek skambinti reikėjo?",anekdotai,"Turėjo,žmogus,papūgą,,kuri,labai"
"Vyrų norai pagal amžių

10. Norisi kažko, niekaip nesuprantu ko. 12. Norisi... merginos? 14. Norisi bet kokios merginos. 16. Norisi būtent tos draugės, nes ji duoda visiems. 18. Norisi visų! ... pabandyt po kartą. 20. Norisi būtent tos merginos, nes ji niekam neduoda. 25. Norisi būtent tos, nes ji geresnė už kitas. 30. Norisi štai tos moters todėl, kad ji kažkieno žmona. 35. Norisi visų, išskyrus savo žmoną. 40. Norisi štai tos 16 - metės kvailutės. 45. Norisi vienišos kaimynės - ji kažin ar atsisakys. 50. Nieko nesinori, atsibodo, bet reikia! 55. Norisi...? 60. Norisi bet kokios moters, bet jau neišeina. 65. Reikia apsimesti, kad vis dar norisi. 70. Ačiū dievui, jau nereikia apsimetinėti. 75. Atsimenu, kaip norėjosi tos moters! 80. Atsimenu, kad kažko norėjosi, o ko - nepamenu...",anekdotai,"Vyrų,norai,pagal,amžių,10."
"Vyksta anatomijos pamoka. Mokytoja vaikams: 
 - Nagi, vaikučiai, pasakykit jūs man, koks organas žmogui naudingiausias? 
Petriukas kelia ranką. Mokytoja: 
 - Petriuk, nuleisk ranką, žinau ką tu nori pasakyti. A, va Maryte, prašau. 
Marytė: 
 - Tamsta mokytoja, aš manau, kad pats naudingiausias organas yra širdis. 
 - Taip, teisingai, Maryte, širdis labai naudingas organas. Už tai aš tau rašau dešimt, sėskis. Prašau, vaikučiai, kas dar žinot kokį naudingą organą? 
Vėl Petriukas kelia ranką. Mokytoja: 
 - Petriuk, greitai nuleisk ranką, begėdi tu. Va, matau Onutė nori pasakyti, prašau Onute. 
Onutė: 
 - Aš manau, kad svarbiausias organas yra plaučiai. 
 - Taip, labai gerai Onute, ir tau dešimt, sėskis, kas dar? 
Niekas nebekelia rankos, tik Petriukas vienas. Mokytoja: 
 - Na, gerai, Petriuk, bet žinok, jei pasakysi, tai pats žinai, kas už tai bus. 
Petriukas: 
 - Tamsta mokytoja, aš manyčiau, kad žmogui svarbiausia yra oda. 
 - Kaip tai oda, kas čia dabar, paaiškink Petriuk. 
 - Na matot, mokytoja, jei nebūtų odos, tai kiaušinius reiktų rankoj neštis.",anekdotai,"Vyksta,anatomijos,pamoka.,Mokytoja,vaikams:"
"Ateina vaikinas i bažnyčia atgailos. Atsiklaupia prie budelės ir sako kunigui:
-Nusidėjau, tėve.
- Pasakok.
-Kartą nuėjau pas draugą. Tačiau buvo tik jo mergina. Lauke pylė kaip iš kibiro, o as neturėjau skėčio, tai pasilikau. Na ir ką - patvarkiau aš ją...
Kunigas liepia pasakoti toliau.
- Kartą buvau pas uošve. Lauke smarkiai lijo, as ir vėl neturėjau skėčio... Na ir patvarkiau aš uošve...
Kunigas klauso toliau.
- Kai kitą kartą nuėjau pas draugą, jis buvo vienas. Lauke lijo, skėčio neturėjau, nu ir ką - patvarkiau ir draugą...
Kunigas sako:
- Klausyk, gal tu jau eik namo, nes dangus niaukiasi, o tu, kaip matau, skėčio neturi.",anekdotai,"Ateina,vaikinas,i,bažnyčia,atgailos."
"Petriuko gimtadienis!
Tetis petriukui gimtadienio proga nupirko gitara gryzta namo ir sako petriukui:
-Petriuk!!as tau gimtadienio proga nupirkau gitara.
Petriukas paiima gitara i rankas ir sako:
-Teti! teti!o, kur gitaros stygos???
Tetis sako:
-Kai ismoksi groti tada, nupirksiu ir stygas.",anekdotai,"Petriuko,gimtadienis!,Tetis,petriukui,gimtadienio"
"ateina petriukas į mokykla ir sako 
mokykloj nebuvau todėl, kad senelis numirė
mokytoja išsigando sako tai kaip numirė?
namas užsidegė
tai sudegė?
ne ugnegesiai atvarė lyną ištempė jis iššoko
tai nepataikė
ne pataikė tik atgal į butą įšoko
tai sudegė?
ne, jis taip šokinėjo šokinėjo tėvui atsibodo tai nušovė.",anekdotai,"ateina,petriukas,į,mokykla,ir"
"Liutas ...Zveriu karalius surenge susirinkima ir liepe niekam neveluot
visi susirinko ir laukia liuto valnda nera....dvie nera po triju valandu ateina visas apsepes sudinas....tokiu piktu zvilgsniu visus nezvelgia ir rekia:
-Kas vidury kelio prisiko!!!!?
Visi tyli
-Dar karta klausiu....Kas vidury kelio prisiko!!!!? nepasakysit suesiu visus
Drambliukas taip nedrasiai iseina i prieki ....
-Nu...as ten biski pirstelejau....
-Nieko sau pirstelejau issibegejes nepersokau !!!!!",anekdotai,"Liutas,...Zveriu,karalius,surenge,susirinkima"
"Vyksta biologijos egzaminas ir bachuriukui taip sunkiai sekasi......egzaminuotojas paziurejo ir sako:
-Jeigu tu man dabar atsakysi i viena klausima as tau skaitau egzamina islaikyta....Duodu 5 minutes
-O taip kanors tikrai sumastysiu!!!!
-Ar galima Karvei padaryt aborta?
Islekia i koridoriu o ten bachuriukas ant palanges sedi...Pribega prie jo ir pradeda akis islupes aiskint
-Klausyk ...man labai reikia patarimo...
-Nu davai rezk.....
-Ar galima karvei padaryt aborta?.....
-....pffftu bl nu baxuras nu tu ir prisidirbai",anekdotai,"Vyksta,biologijos,egzaminas,ir,bachuriukui"
"Ateina ežiukas į vaistinę ir sako pardavėjai:

- Man 20 prezervatyvų!

Pardavėja:

- Kiek?? Ar aš gerai išgirdau ?? Dvidešimt ??

Ežiukas:

- Nu jo...

O vaistinės kampe sėdi dvi voveraitės ir juokiasi. Ežiukas atsisuka į jas, įdėmiai pažiūri ir lėtai sako pardavėjai:

- Dvidešimt du...",anekdotai,"Ateina,ežiukas,į,vaistinę,ir"
"Mokykla.Mokytoja Petriuko klausia:
-Petriuk, kada vyko Žalgirio mūšis?
-Nežinau,-atsako Petriukas
-O kas lieka po karo?-vėl klausia mokytoja
-Nežinau,-sako Petriukas
-O ar mėnulyje auga medžiai?
-Nežinau
Mokytoja supykus liepia Petriukui pasiklaust tėčio ir rytoj viską žinot. Grįžta Petriukas namo ir klausia tėčio:
-Tėti, kada vyko Žalgirio mūšis?
-1410,-atsako Petriuko tėtis
-O kas lieka po karo?
-Duobės ir griuvėsiai
-O ar mėnulyje auga medžiai?-vėl klausia Petriukas
-Mokslininkai dar neištyrė
Atėjo kita diena, Pteriukas įeina į klasę, o jo mokytoja staigiai klausia:
-Petriuk, kiek tau metų?
-1410,- atsako Petriukas
-Kas tavo galvoje?-nustebus klausia mokytoja
-Duobės ir griūvėsiai,-nemirktelėdamas atsako Petriukas
-Petriukai ar tu debilas?-pakraupus klausia mokytoja
-Mokslininkai dar neištyrė",anekdotai,"Mokykla.Mokytoja,Petriuko,klausia:,-Petriuk,,kada"
"Į elitinę baldų parduotuvę skambina moteris:
 - Norėčiau paęių brangiausių baldų. 
Vadybininkas:
 - Laba diena, taip, taip (šilkiniu balseliu), žinoma, atvešime jums katalogus į namus jums patogiu laiku... (nu ir t. t. lenda į... ), kaip atsiskaitysit: kreditine, grynais? 
 - Žinot aš dabar neturiu pinigų. 
 - (Grubiai) Paskambink kai turėsi. 
 - Matot mano pinigai pas vyrą... 
 - (Vėl šilkiniu balsu) labas dar kartelį...",anekdotai,"Į,elitinę,baldų,parduotuvę,skambina"
"Kartą draugės mane pakvietė į mergvakarį. 
Vyrui pažadėjau, kad 12 valandą nakties būsiu namuose. 
 Ir nei minutės vėliau!
Šampanas buvo nuostabus ir laikas prabėgo tiesiog nepastebimai. Girta, kaip tapkė, parvažiavau namo ir tyliai įsliūkinau į butą. 
Ir kaip tik laikrodžio gegutė 4 kartus sukukavo.
 Aš nepasimečiau ir gegutės balsu sukukavau dar 8 kartus. Stebėdamasi savo išradingumu ir nuovokumu, kritau lovon ir atsijungiau.
 Ryte, pusryčių metu, vyras atsargiai paklausė, kelintą valandą grįžau namo. 
 Ramiu balsu atsakiau, kad parsiradau lygiai dvyliktą ir dar patikslinau, kad, kai įėjau pro duris, kaip tik gegutė 12 kartų sukukavo.
– Taip, aš girdėjau, – atsakė vyras.
 Pamaniau, kad viskas tvarkoj – praslydau. 
 Tačiau minutėlę patylėjęs, vyras pasakė:
– Žinai, mieloji, mums reiktų pakeisti gegutę. Arba įsigyti naują sieninį laikrodį.
– Kodėl? – paklausiau aš.
– Žinai, naktį, kai tu grįžai, ji sukukavo 4 kartus. Po to pasakė: “blet!”. Sukukavo dar 4 kartus, po to pašliurkščiojo nosimi, sukukavo dar 2 kartus, piktdžiugiškai susijuokė ir prakukavo likusius du kartus, užlipo ant katino ir plojosi ant parketo…",anekdotai,"Kartą,draugės,mane,pakvietė,į"
"Mokytoja klausia:

- Petriuk, kodėl vėl vėluoji?

- Mane einant į mokyklą užpuolė!

- Kaip baisu! Ar kanors pavogė?

- Namų darbus...",anekdotai,"Mokytoja,klausia:,-,Petriuk,,kodėl"
"2001-ųjų išvakarėse kažkoks korespondentas Londono gatvėje paklausė pro šalį einančio anglo: 

-Sakykit, kokie jūsų planai naujam tūkstantmečiui? 

-Kuklūs, - tarė anglas, - didžiąją dalį naujo tūkstantmečio aš būsiu negyvas.",anekdotai,"2001-ųjų,išvakarėse,kažkoks,korespondentas,Londono"
