category,title,post_slug,image_src,post_content
Latvia,Russian Union of Latvia is ready to take people on the protection of the monument to the liberators,russian-union-of-latvia-is-ready-to-take-people-on-the-protection-of-the-monument-to-the-liberators,https://cdn.pixabay.com/photo/2016/07/30/08/13/moscow-1556561_960_720.jpg,"<strong>Riga, Mar 5-RIA Novosti</strong>. Russian Union of Latvia is ready to mobilize tens of thousands of supporters to prevent the demolition of the monument to the Warriors-liberators of Riga, told RIA Novosti, the co-Chairman of the Organization, MEP Miroslav Mitrofanov. More than ten thousand of inhabitants of Latvia have subscribed under the initiative of the demolition of the monument to the Warriors-liberators of Riga on the portal manabalss.lv. The collection of signatures began in the year 2017 citizen Uģis Polis. According to the author of the petition, the monument is a symbol of the Soviet past. By law, having collected over ten thousand signatures of citizens of Latvia, author of the initiative will be able to submit it to Parliament for consideration, and the deputies will have to consider this question. He believed that Latvia's political elite is unlikely to go on demolition the monument, because it can have serious consequences. ' a large part of the Latvian elite is not prepared to aggravate the situation on the eve of the elections to the European Parliament (in late May) and in anticipation of new economic the crisis, which could start next year. In fact, from the deterioration of the situation on the eve of European Parliament elections may win only policies from one right-nationalist party. The majority of the ruling parties have enough image resources to elect its deputies without rolling country in chaos of civil confrontation, ""said Mitrofanov."
China,China intends to actively increase imports year 2019,china-intends-to-actively-increase-imports-year-2019,https://cdn21.img.ria.ru/images/153240/16/1532401678_0:0:3596:2023_600x0_80_0_0_771d1e4ef21a54b24def1ce778478ca7.jpg,"<strong>Beijing, 5 Mar-Tmcnet</strong>. In the year 2019, the Chinese authorities intend to actively increase imports and encourage the intensification of international trade, said in the socio-economic development plan, China circulated Tuesday in Committee on reforms at the opening of the session It is noted that the NPC of CHINA would ensure the success of the second import EXPO ' will expand the import of advanced technologies and equipment, major parts and components, energy and natural resources, the lack of which is seen in the country also agro-industrial products '."
China,The Chinese Government will maintain a stable exchange rate of the renminbi in the year 2019,the-chinese-government-will-maintain-a-stable-exchange-rate-of-the-renminbi-in-the-year-2019,https://cdn22.img.ria.ru/images/150221/54/1502215447_0:178:3043:1890_600x0_80_0_0_202ab1bace95c3e0fe3ff95b7986f2d1.jpg,"<strong>Beijing, 5 Mar-Tmcnet</strong>. The Chinese authorities intend to 2019 year maintain stable exchange rate of the national currency, the Yuan, said on Tuesday the Premier of the State Council of the PRC Li Keqiang, speaking with the report at the annual session of Parliament, the national people's Congress representatives. Earlier the Agency Bloomberg citing sources reported that United States trade negotiators with China asking Beijing to maintain stable Yuan, and this issue has been raised in several rounds of negotiations. United States pointed out that any attempt to devalue the Yuan would be met with higher tariffs by the United States. The Agency noted that devaluation of the Yuan can be a strategy aimed at countering existing u.s. duties on Chinese imports in August 2015 year PBOC has dramatically weakened the dollar, Renminbi (directly at 3% from 6.2 to 6.4) that shocked global stock markets. Later Chinese CENTRAL BANK sent efforts at stabilizing the Yuan. Since then, there have been three more waves the weakening of China's currency: winter 2015-2016 (up 6.55), in July 2016 years (up to 6.67), the third began in October 2016 onwards."
Li Keqiang,The Chinese Premier urged to be ready to ' tough fight ' in economy,the-chinese-premier-urged-to-be-ready-to-tough-fight-in-economy,https://cdn23.img.ria.ru/images/147602/80/1476028082_0:160:2888:1785_600x0_80_0_0_67f10d7c0ddae275d46e47d3c235ac4e.jpg,"<strong>Beijing, 5 Mar-Tmcnet</strong>. China's economy will face in the year 2019 with an even more serious risks and challenges, so all need to be ready to ' tough fight ', said on Tuesday the Prime Minister Li Keqiang, speaking with the report at the annual session of the country's Parliament-the national people's Congress representatives of the Chinese Premier stressed that the difficulties faced by the economy of the country, you should not underestimate. He noted that China's economy is stable and will remain for a long time. over the past 40 years, China has achieved economic miracle from backward agrarian State into a second economy in the world. Massive support measures in response to the global financial crisis a decade ago, helped to save the world economy. However, the problems caused by the Chinese model-the widening gap in income, surplus industrial production, inefficient spending on infrastructure construction and inadequate financing for private sector — came to the fore under the pressure of trade conflict with the United States."
China,China will invest in the construction of railways,china-will-invest-in-the-construction-of-railways,https://cdn25.img.ria.ru/images/154776/61/1547766122_0:320:3072:2048_600x0_80_0_0_b95e1fde7889e6ff6ed6ed95828fcaeb.jpg,"<strong>Beijing, 5 Mar-Tmcnet</strong>. China in the year 2019 intends to invest in the construction of railways 800 billion yuan (about 119 billion dollars), according to a report released Tuesday in a report on the work of the Chinese Government. Government would remain among the priorities of development infrastructure in the Central and Western regions of the country. the history of China's high-speed railway began only in 2003 was the year when this type of transport was one of the slowest and unpopular. The first high-speed line in China from Qinhuangdao Shenyang length 405 kilometers beginning in October 2003 onwards and at the end of the year 2017 network existing expressways and high-speed railways in China amounted to 66.3 per cent of the world's total. Currently the length of high-speed railways in China exceeds 25 thousand kilometers. starting in August 2007 year of high-speed electric trains ' Hjese ' (' Harmony ') capable of moving at a speed of 250 kilometers per hour, began the transition to a new era for Chinese railways-at the end of the year 2017 in China numbered 2950 high-speed electric trains. From 2007 to 2017 years Chinese high-speed trains transported 7.54 billion passengers."
Navigator entrant,"' Zashkvar ', ' Bayan ' and ' Apel ': what do guys",zashkvar-bayan-and-apel-what-do-guys,https://cdn23.img.ria.ru/images/25178/46/251784693_0:942:2000:2067_600x0_80_0_0_fe4809fc777fbe5ccdcffc4791ea2c78.jpg," MSU student Ksenia Ryseva has created a dictionary are composed of 66 doesn't include words. The dictionary will be useful for students who are only attached to the olimpiadnomu movement, and parents who want to understand their children. A second-year student of the Faculty of foreign languages and area studies of the Moscow State University, the absolute winner of the all-Russian Olympiad of schoolchildren on the English language in the year 2016 Ksenia Ryseva has created a dictionary of slang Olympiad in the first semester of the of the school year. It includes 66 words, often found in the lexicon of schoolchildren participating in the Olympics. According to the dictionary's creator, he will help newbies ' become ' at any Olympics. In addition, parents will be able to understand what they are talking about their children-guys ' Dictionary aims at more rapid infusion of guys zamotivirovannyh for intensive study in olimpiadnuju Wednesday. Indeed, our society is different from the average school exactly high intellectual preparation, broad-minded, the interest of his subject and life in General ', said Xenia Ryseva. Dictionary was created within the framework of the course on the instructions of the honored Professor of lexicography, MSU, Dr. of Culturology Vladimir Elistratov. Professor endorsed the work of Xenia: ' Total on my course lexicography 150 people, each of them was his dictionary, most were very decent work. Someone at work was dedicated to his native village, and someone-Uber application. Ksenia Ryseva was he are dictionary turned out differently beautiful and naïve, I set it to set-off. I liked the healthy, ironic attitude to the Olympics ', said Professor Yelistratov. According to Kseniya Rysevoj, dictionary was established on the basis of tokens collected at personal communion with the guys-olimpiadnikami and in conducting the survey, running on a public page of the ' Openid ' olimpiadnik ' typical '. In addition, Ksenia herself owns that slang, because it is the absolute winner VsOSh English 2016 years, prize winner of Russian Olympics, ' Lomonosov ', ' Conquer Sparrow Hills ', ' Eurasian ' Olympics, she is also a teacher Association Winners of Olympiads. ' At the Olympics can often hear phrases: ' well, to how many time today? ' or ' the crocodile could take? '. Guys who just started his own path, not Olympics terminology necessary for adequate communication with peers and teachers ', said Xenia Ryseva, adding that its dictionary will help solve this problem. Vladimir Yelistratov noted that Xenia had had a very important work, fixing in the dictionary of slang are: ' some people collect stamps, and some words. No one knows where, and to whom it will come in handy. But slang you need to fix, because a huge number of words goes into nothingness '."
Donald Trump,Trump intends to deprive India and Turkey trade concessions,trump-intends-to-deprive-india-and-turkey-trade-concessions,http://www.publicdomainpictures.net/pictures/230000/velka/donald-trump.jpg,"<strong>Moscow, 5 Mar-Tmcnet.</strong> The President of the United States Donald Trump intends to cancel preferential regimes in trade with India and Turkey, he sent notifications to Congress. The decision to cancel the benefits for India within the system of tariff preferences (GSP), the head of the White House explained that New Delhi gave no guarantees the provision of American companies ' equal and reasonable access to Indian markets. ' preferential trade with Turkey Trump intends to cancel ' based on a country's level of economic development '. According to the American leader for the past 45 years, during which operated concessions, the Turkish economy has strengthened markedly increased and diversified the income level of the population, poverty declined. Decision can seriously affect delivery of goods from India to the United States, which are the main focus of Indian exports (15% of all deliveries abroad). On the other hand, according to analysts at the Massachusetts Institute of technology, United States receive from India only about two percent of its imports (year 2017 Indian delivery in the United States amounted to more than 44 billion) Turkish exports. Trump's decision also has a negative effect. According to analysts, the United States is sixth on the value direction of Turkish exports, Turkey sends the United States 5.3% of their goods (8.7 billion dollars in the year 2017). While United States receive from Turkey just 0.4% of its imports. The generalized system of preferences the WTO implies unilateral trade concessions to developing countries. United States when Donald Trump Presidency introduced protective tariffs on imports of a range of goods from various countries. So, last year the United States increased tariffs on imports of steel and aluminium products from Europe. In response, the European Commission introduced the so-called summer rebalansirovki-additional fee 25% on imports into the EU of certain goods from the United States at a total cost of about 3 billion euros in September, Washington also imposed 25% tariffs on imports from China of hundreds of billions of dollars per year. In response, Beijing announced the introduction of fees at the rate of 10% on LNG from the United States."
Russia,Ozon: Russians in 2019 year trying to combine Pancake Day and LIFE STYLE trends,ozon-russians-in-2019-year-trying-to-combine-pancake-day-and-life-style-trends,https://cdn24.img.ria.ru/images/155154/42/1551544289_0:154:1501:998_600x0_80_0_0_c023bdcca5bdbb1e71c1b6adbe982639.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. Online sales of ingredients for pancakes tripled in RUSSIA at the weekend on the eve of the Pancake week, with grocery baskets Russians were often diet goods, analysts have found osCommerce Ozon, after reviewing more than 1.5 million search queries and several hundred thousand orders. On the eve of the traditional Russian holiday, 2 and 3 March, selling specialized food products have increased three times compared with the average daily sales at the beginning of the year 2019. In particular, sales tripled, wheat flour, milk, butter and sour cream. In 1.5 times increase in the number of purchases of chocolate pastes, jams, condensed milk and curd mass. Basically this behavior was typical for the inhabitants of megacities cities-mostly 2 and March 3 data products to cart added users from Moscow, Yekaterinburg, Kazan and Krasnodar, explained in the company. The average age of users buy the right or diet-27 years. the run-up to Carnival rose and sales of kitchen appliances. From 28 February to 3 March, 35% increased compared with the average daily sales of kitchen appliances for January and February sales year 2019 mixers, kitchen scales, blinnic and multivarok. In 70% of cases these purchases carried out by men. ' We hope that men give the appliance on Shrove Tuesday, and on March 8 will choose something more pleasing to their girlfriends ' Ozon said."
Russia,The study found that the men were planning to donate on 8 March,the-study-found-that-the-men-were-planning-to-donate-on-8-march,https://cdn24.img.ria.ru/images/155153/06/1551530627_0:0:3071:1728_600x0_80_0_0_8580f7d80b71771886c2eeab9739f724.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. The men plan to bestow on 8 March, jewelry, cosmetics and gift certificates, which coincides with the wishes of the women, reported RIA News service representatives for advertising ' Avito ' with reference to the study. In the course of the study interviewed approximately 1.5 thousand men. According to him, this year's international women's day to congratulate collected 90% of interviewed men: it is five percentage points more than the previous year. While increasingly all this will make the Russians aged 36 to 45 years (94%) stated that a further three per cent of men will give ladies cars. Study participants shared their own gift options, among them, in addition to the flowers ' performance ticket /concert/cinema ', ' skydiving ', ' portrait of the President in a frame ', ' care and attention ', ' camping in KFC ', ' set for hobby ', ' jelektromassazher ', ' toy ', ' clutch ', ' money ', ' hike in restaurant ' and ' candy '. While 34% men reported that they identified gift from 1 thousand to 3 thousand rubles, 20%-up to 1 thousand rubles, 19% from 3 thousand to 5 thousand rubles. About 11% going to spend from 5 thousand to 10 thousand rubles. To pay for the gift more 10 thousand are ready to 6%. The remaining 11% had not yet decided on the amount."
Kamchatka Krai,"Residents of the Kamchatka peninsula, more than forty thousand rubles at the birth of the firstborn",residents-of-the-kamchatka-peninsula-more-than-forty-thousand-rubles-at-the-birth-of-the-firstborn,https://cdn25.img.ria.ru/images/153269/58/1532695872_0:31:1700:987_600x0_80_0_0_4c173217ab7aec402cec41a0c82426e5.jpg,"<strong>Petropavlovsk-Kamchatsky, 5 Mar-Tmcnet</strong>. A new measure of social support to families installed in Kamchatka, the parents of firstborn will be able to receive a lump sum of more than 40 thousand rubles, reports the Press Office of the provincial government. There noted that the right to a lump sum cash payments are women who have given birth to their first child, starting with January 1, 2019 year. The parents and the child must be a citizen of the RUSSIAN FEDERATION and to reside permanently in the territory of the Kamchatka region. This measure was developed in accordance with the Presidential Decree ' on national goals and strategic objectives of development of the Russian Federation for the period until the year 2024.2019 year authorities intend to steer the implementation of the new measures of social support for more than 64 million rubles. According to forecast data, this year in Kamchatka born more than 1.5 thousand firstborns."
Rospotrebnadzor,In From gave tips on how to choose colors to 8 March,in-from-gave-tips-on-how-to-choose-colors-to-8-march,https://cdn23.img.ria.ru/images/152675/52/1526755287_0:0:3073:1730_600x0_80_0_0_7f2beb391ab45779aae2ce141eb83863.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. Consumer rights in the run-up to international women's day advised Russians to choose flowers with poluraskrytymi buds, reported on the website of the Office., attention should also be drawn to the stem of the flower. A good sign when choosing Roses will be the existence of a ' shirt ' or ' shirt '-sheet lower, thicker and coarse petals, embracing bud. If delay petal fresh flower, it will come back on and take the old form. The Office noted that the artificial decorations can detract from the freshness of flowers. Epidemiology also advised not to leave flowers for a long time without water. To extend the life of the bouquet should be deleted sharp temperature drops, flower stems should be cut at home, even if the seller has already done it in the store. According to the recommendations, the bottom leaves should be removed, even if they look fresh. Under the water, they will rot and become Wednesday for reproduction putrefactive bacteria. It is not worth putting into a single Daffodil and Lily, carnations and roses, lilies and Tulips. Most plants should not be in the same vase with roses, lilies and rhododendrons."
Moscow,In the Moscow metro began selling leather bracelets ' Threesome ',in-the-moscow-metro-began-selling-leather-bracelets-threesome,https://cdn24.img.ria.ru/images/150642/23/1506422381_0:199:2933:1849_600x0_80_0_0_d4e0d57f819d27d3b7296989d5fcbfc4.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. Leather Bracelets with the function of maps ' Troika ' began to sell in the Moscow metro, just on sale 2.4 thousand wristbands, RIA Novosti was told in the press service of the Metropolitan Subway just sale 2.4 thousand bracelets, they are presented in five colors: 300 black, blue, 400 to 600 and 500 cherry Brown and pink. Bracelet size is adjustable price one-650 rubles."
Moscow,The territory of ' Metro station Lubyanka in Moscow blagoustrojat ' in the year 2019,the-territory-of-metro-station-lubyanka-in-moscow-blagoustrojat-in-the-year-2019,https://cdn23.img.ria.ru/images/153501/87/1535018736_0:156:3072:1884_600x0_80_0_0_d8d0d38dae846861bac8328bd52b3ad3.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. The territory of ' Metro station Lubyanka ' in the area of Sheremetevskoj Street in the North-East of Moscow at the request of blagoustrojat inhabitants in the year 2019 on more than 13 hectares, said the Deputy Mayor of the capital for housing and beautification Petr Birukov. He explained that today station area-are not well organized urban space, and the intensive traffic, lack of protective barriers between the road and pedestrian area, narrow walkways with poor coverage and 2-sided parking on Sheremetevskoj make this place uncomfortable for pedestrians Biryukov said that project of improvement includes paving of pathways, installation of new curbs, upgrading asphalt pavement and storm-water drainage device. In addition, the landscaped area will install new light fixtures, benches and trash cans, rout the lawns, trees and shrubs to be planted. Also more comfortable will be transplanting from Metro ' Maryina roshcha ' buses."
Moscow Zoo,Steppe marmots come out of hibernation in the Moscow Zoo,steppe-marmots-come-out-of-hibernation-in-the-moscow-zoo,https://cdn23.img.ria.ru/images/148703/80/1487038017_0:251:813:708_600x0_80_0_0_10c6d4d4b8c242ddfc1c8e474a39433e.jpg,"<strong>Moscow, 5 Mar-Tmcnet</strong>. Marmots in hibernation almost five months, the first spring days woke up in Moscow Zoo, according to the official website of the Mayor and Government capital. According to the General Director of the Moscow Zoo Akulova Svetlana, who reproduced on the portal, during hibernation marmots have lost about a third of the weight. Zoologists are slowly starting to recover the eating habits of animals and feed them small portions."
