category,title,post_slug,image_src,post_content
Georgi Daneliya,"Georgij daneliya, remains in the intensive care unit",georgij-daneliya-remains-in-the-intensive-care-unit,https://cdn22.img.ria.ru/images/155141/00/1551410049_0:149:2048:1301_600x0_80_0_0_b8409cbe365328804de2817cd7fb8df1.jpg,"<strong>Moscow, 12 Mar-Tmcnet</strong>. Well-being of a filmmaker George Danelii has improved, but he's still in intensive care, told Afp his wife Galina Daneliya-Yurkova."
Contest-2019,Maruv promised cheering for Russia at Eurovision,maruv-promised-cheering-for-russia-at-eurovision,https://cdn25.img.ria.ru/images/155138/60/1551386029_0:200:2836:1795_600x0_80_0_0_fb71cd08d0fe36ec52ee575864eb4fe5.jpg,"<strong>Moscow, 12 Mar-Tmcnet.</strong> Ukrainian singer Anna Korsun (Maruv), won the national selection for Eurovision-2019, promised to support the contest Russian Sergey Lazarev. ' it is understandable, because of my good relationship to Sergei — we have with it is cool, interesting joint history is going to support it. But I want to see and other statements, to support artists who will do something interesting, ""leads the Agency UNIAN Word singer. Maruv also stated that it would no longer participate in the selections for the Eurovision Song Contest, because competition ' survived ' and became irrelevant. Anna Korsun won the national selection, but does not become a contract with the national public broadcasting company Ukraine (NOTE) due to the onerous conditions of the Treaty ' '. Against the backdrop of the scandal associated with the statements made by Maruv in Russia, stated that he did not want to perform at the Eurovision Song Contest-2019 with slogans and convert my statement in the promotion of Ukrainian politicians."
Cosmos,The delegation of the United States will discuss the prospects of RUSSIAN ACADEMY of SCIENCES a joint study of Venus,the-delegation-of-the-united-states-will-discuss-the-prospects-of-russian-academy-of-sciences-a-joint-study-of-venus,https://cdn24.img.ria.ru/images/155155/98/1551559877_0:264:2560:1704_600x0_80_0_0_d0e6f5985bd71eff56b38cbf675faa99.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. The delegation of the Russian Academy of Sciences, headed by its President Aleksandorom Sergeyev will discuss Wednesday during his visit to United States joint study prospects of Venus, told RIA Novosti the Scientific Director of the Institute for space research RAS, Deputy Chairman of the Council of the Academy of the Americas Leo Green. ' it is planned to discuss the draft ' Venera-d ',-he said. According to Green, on his return from the United States delegation will tell Academy on the outcome of the negotiations. As previously reported, will be held on Wednesday a meeting of the RUSSIAN ACADEMY of SCIENCES and NASA. It is planned that it will discuss issues that raise stated during a visit to the United States ' head of Roskosmos ' Dmitry Rogozin, including joint study Venus. At the beginning of the year, the head of NASA'S Jim Brajdenstajn, yielding to American demands Senators, canceled an invitation to visit the United States Rogozin. Then in the Space Research Institute of RUSSIAN ACADEMY of SCIENCES expressed concern that because of the breakdown of the visit threatened implementation of the Russian-American Mission to Venus ' Venera-d '. ' Mission Venera-d ' (' long-life ') was planned to launch in 2026, with the help of rockets ' Hangar '. The project was in the Russian federal space program up to the year 2025, but when the veto was deleted. In the year 2013 the draft United States well. In the same year was created the joint scientific working group to study Venus ' mission based Venera-d ', consisting of representatives of the two countries."
UFA,"Paris described the condition of the child, which threw the ninth floor",paris-described-the-condition-of-the-child-which-threw-the-ninth-floor,https://c2.staticflickr.com/8/7300/9135045331_466cd73e89_b.jpg,"<strong>UFA, 13 Mar-Tmcnet</strong>. Two year old child, whose mother allegedly Wednesday threw out of the window of the ninth floor, is in serious condition in intensive care, RIA Novosti reported the spokesperson of Ministry of health of Bashkiria Svetlana Kuskarbekova. Previously, SC region reported that checks on the fact of the fall of the two-year-old girl from the window of the ninth floor of a residential building on Duvansky Street in Ufa Boulevard. Her hospitalized."
Nigeria,"In Nigeria, the school building collapsed in rubble were more than 100 people",in-nigeria-the-school-building-collapsed-in-rubble-were-more-than-100-people,https://cdn22.img.ria.ru/images/155175/91/1551759177_0:198:810:654_600x0_80_0_0_73388dc9750fcb03c82e6488816d5c9c.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. The three-story building, where there was a school, collapsed in the town of Lagos in Nigeria, more than 100 people remained under the rubble, reported the Guardian Nigeria. According to the newspaper, several students were taken to a local hospital. information on currently There are no fatalities."
St. Petersburg,On the Arctic Forum will discuss innovative shipbuilding projects,on-the-arctic-forum-will-discuss-innovative-shipbuilding-projects,https://get.pxhere.com/photo/sea-mountain-snow-cold-winter-mountain-range-ice-glacier-weather-arctic-iceberg-polar-plateau-tundra-freezing-landform-arctic-ocean-natural-environment-geological-phenomenon-ice-cap-sea-ice-47251.jpg,"<strong>St.Petersburg, 12 Mar-Tmcnet.</strong> Achievement of the shipbuilding industry, as well as innovative projects designed to provide breakthrough in this area will be discussed at the International Arctic Forum in St. Petersburg, said Tuesday the Fund ' Roskongress '. ' Within the framework of the business program of the International Arctic Forum-2019 participants will familiarize themselves with achievements in the industry, as well as seriously execute innovative projects that will help to implement the breakthrough in Russian shipbuilding, ""said Adviser the President of the Russian Federation Anton Kobyakov, whose words are informed. In his opinion, shipbuilding is a sector of the economy, from which depends the development potential of trade and economic relations between Russia and the leading countries of the world, and, as a consequence, improved world economic situation in General. ' The focus today on building nuclear icebreaker fleet to expand the possibilities for commercial navigation in Russian Arctic ', said kobyakov. Development construction of modern vessels is expected to devote a separate session in the framework of the business program of the track ' open ocean ' V International Arctic Forum ' Arctic-Ocean opportunities. ' according to ' Roskongress ', another session will cover the themes of the production and use of liquefied natural gas (LNG) in the Arctic. ' It is expected that discussions will attend Russia's Energy Minister Alexander Novak. Experts and leaders of all involved in the LNG market development companies and departments to discuss the expansion projects of one of the most promising areas in the gas industry, ""said in the statement. the architecture of the business program International Arctic Forum-2019 includes activities on all key topics that should be explored in order to commit a breakthrough in the development of the regions of the Arctic. In particular, included sessions on the development of international cooperation in the sphere of economy, modernization of key industrial enterprises, social-public block, preserving and improving the environment and the climate."
Sverdlovskaya oblast ',"Paul, the residents in the Urals, will test a new system of garbage collection",paul-the-residents-in-the-urals-will-test-a-new-system-of-garbage-collection,http://www.marysrosaries.com/collaboration/images/4/4b/People_get_stirred_up_by_Saint_Paul.jpg,"<strong>EKATERINBURG, 13 Mar-Tmcnet</strong>. Residents of the town of Polevskoi, Sverdlovsk region with 1 April will begin testing the new container system for the collection of solid household waste (TLO), announced on Wednesday the Department of informpolitiki in the region. ' on the initiative of the regional operator and with the active support local authorities with the 1 April Paul, residents will be given the opportunity to test and within a few months to choose the most optimal and convenient system of TKO collection ', the statement said, according to the head of regional operator in the treatment with TKO in the Western administrative-production Association of Sverdlovsk region-directors ' DSW ' Ecoservice ' Radik Hisamutdinova, today in a so-called TKO collection-pomeshkovyj system that allows to store garbage in a separate container and display it near the residences for re-exportation to the polygon. In Pol's over the years she's caught on ' and specific gripes . Nevertheless, noted a regional operator, it is obvious to everyone that the disadvantages of such a system have significantly more than pluses-from ' affection ' people to schedule garbage trucks to broken dogs packages and education within the city limits dumps. ' Alternatively, we propose polevchanam test container system for collecting solid municipal waste. At the end of March on the agreed with the Administration sites in apartment housing development North of the city we will install 500 new containers, equipped with hydraulic systems. And from 1 April will begin their service. Further, if the people will support this initiative on container fee would be transferred the entire city ', is given in the message of the word Hisamutdinova."
Moscow,Forecasters said the snow melts when in Moscow,forecasters-said-the-snow-melts-when-in-moscow,https://cdn21.img.ria.ru/images/151371/15/1513711575_0:0:3078:1731_600x0_80_0_0_082716b029c08ea0988050a7b5bfe6f2.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Snow in Moscow come down no earlier than March 20-25, told RIA Novosti the Chief specialist of the Metropolitan meteobjuro Tatyana Pozdnyakova. ' now snow in Moscow from 17 to 35 centimetres, it is slightly smaller than the norm. Usually we have snow happens anymore. Snow come down after March 20-25, but not earlier, even if it is very warm, ""said Pozdnyakova."
Victory (airline),' Victory ' was unable to convince the Court of the legality of the fees for taking coffee in the plane,victory-was-unable-to-convince-the-court-of-the-legality-of-the-fees-for-taking-coffee-in-the-plane,https://cdn24.img.ria.ru/images/151760/58/1517605829_0:160:3072:1888_600x0_80_0_0_41defc07c951a2f2f92fb6457f24adb9.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. The Arbitration Court of Moscow District following the two lower courts upheld the precepts addressed ' airline Rostransnadzor requirements currently Victory ', which forced the passenger pay 2 thousand rubles for bringing aboard Cup coffee, purchased at the airport. As can be seen from the information on file arbitration cases in district court Wednesday dismissed a cassation appeal of ' Victory ' for the decision of the Arbitration Court of Moscow and the ruling of the ninth arbitration appeal court. The disputed injunction from January 29, 2018 year Rostransnadzor ordered the airline to bring its internal regulations for the carriage in conformity the requirements of air law. The carrier has asked the courts to recognize a precept invalid. Representatives of parties before the Court of first instance explained that in October the year 2017 passenger at the airport ' Vnukovo ' was registered on the flight to Sochi, gauging, inspection of carry-on luggage, and in neutral zone bought Cup coffee and a muffin. When boarding a flight carry-on luggage again put in calibrator, and a bag of food it does not fit. Representatives of the airlines proposed pay for exceeding the carry-on rules or leave it at the airport is considered the Rostransnadzor violation because the minimum allowable weight of carry-on baggage has not been exceeded, and ladies handbag, also placed in calibrator, should go beyond the norm for free. the representative of the ' Victory ' in turn explained in court that the airline's staff took charge of 2 thousand rubles for excess carry-on baggage. According to the lawyer, airline passenger gave scandal began to swear, and it just is not removed from the flight, but ultimately she paid 2 rubles, then approached the Rostransnadzor and Prosecutor's Office."
Vladimir Medinsky,Medinskiy instructed to check the words of the head of a troupe of Ballet of Georgia about Crimea,medinskiy-instructed-to-check-the-words-of-the-head-of-a-troupe-of-ballet-of-georgia-about-crimea,https://cdn24.img.ria.ru/images/155084/21/1550842144_0:212:2858:1820_600x0_80_0_0_91c725bc0fd1b4a7dde80bb7384e3584.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Minister of culture of the Russian Federation Vladimir Medinsky instructed to check whether the true statements of the head of a troupe of ' Royal National Ballet of Georgia ' on the visit to Moscow and ' okkupantah '. ' Royal National Ballet of Georgia ' will perform at the Kremlin Palace on April 10. According to some media reports, the head of the troupe, Gela Pochishvili noted that the team goes to Moscow ""not to entertain someone, and to demonstrate that we don't break ' and show ' invaders '."
Moscow,"In Moscow, a 27-year-old woman fell into a coma during sleep",in-moscow-a-27-year-old-woman-fell-into-a-coma-during-sleep,https://cdn.pixabay.com/photo/2016/02/14/11/39/russia-1199330_960_720.jpg,"<strong>Moscow, 13 Mar-Tmcnet.</strong> In Moscow, a 27-year-old girl went to bed, then fell into a coma. It is reported by the ren tv. Moskvichka went to bed at 1 o'clock in the morning, and the next day the mother was unable to wake her. After that she called an ambulance. According to the women, something that had occurred a few years ago."
The transition to digital television,In the Chelyabinsk region offset purchase tv trays for 40 thousand inhabitants,in-the-chelyabinsk-region-offset-purchase-tv-trays-for-40-thousand-inhabitants,https://cdn.pixabay.com/photo/2017/07/06/05/46/chelyabinsk-2477058_960_720.jpg,"<strong>CHELYABINSK, 13 Mar-Tmcnet</strong>. Chelyabinsk oblast authorities compensate for the purchase of a satellite dish for 40 thousand residents whose homes are outside the coverage area of a digital signal, said Minister of information technologies and communication of the region Alexander Kozlov. Russia in the year 2019 goes from analog to digital television. The transition will be gradual, disabling the analog signal in the regions will take place as soon as they are ready. Chelyabinskaya oblast ' moves to digital broadcasting in the third wave-with 3 June. ' villages that do not fall into the area of digital television, which is about 1% of the inhabitants of the region-their 40 thousand people, they have the only way to get a signal- the purchase of a satellite dish. Negotiations were held with major operators of satellite dishes, and they offer special deals, ""said Kozlov. According to his data, the purchase of this kit costs approximately 4.5 thousand rubles, installation is estimated about 2 thousand rubles, then 20 people will be able to watch free channels for at least 5 years. In Chelyabinsk oblast there are satellite operators, and they have special deals on the purchase, said Kozlov. He explained that the region is tasked to support the citizens who will experience financial difficulties during the transition to digital broadcasting. So, now adopted by regional law, where socpodderzhki measures, including citizens living in settlements outside of the coverage area, digital zoom will be offset by costs of $6.5 thousand rubles, Kozlov said. He added that for reimbursement for the purchase of a satellite dish has already turned four citizens, they compensated for the amount of 25 thousand rubles. He also recalled that receive subsidies for the purchase of set-top boxes and antennas in the amount of not more than 1 thousand rubles can low-income families, single income is not above the subsistence level, as well as with disabilities, participants of the great patriotic war and their widows."
The HRC,Klishas: false information will block to protect Russians,klishas-false-information-will-block-to-protect-russians,https://cdn25.img.ria.ru/images/155077/63/1550776375_0:0:3079:1732_600x0_80_0_0_71ee08caf870f7f96c7ec1db6be025f0.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. False information will be blocked in order to protect the life and health of Russians, such protection is the responsibility of the State, said Chairman of the Federation Council Committee for constitutional law Andrei Klishas. Sovfed approved the Act to combat false information Klishas is one of the sponsors of the legislative initiative, which provides for the blocking of unreliable information. ' it is necessary to distinguish between the very procedure of blocking network Edition for distribution inaccurate information and the procedure for bringing to responsibility for the administrative offence. In the first case the lock is designed to prevent the spread of false information in order to protect the life and health of citizens and the public order. You have to understand that under this procedure it is important to immediately take the necessary action to protect citizens ' Klishas said at the meeting. According to him, such actions are the responsibility of the State. ' locking procedure itself is a measure of the operational state response ', ""said the Senator."
The transition to digital television,More than a third of the inhabitants of the Murmansk region are ready to transition to digital tv,more-than-a-third-of-the-inhabitants-of-the-murmansk-region-are-ready-to-transition-to-digital-tv,http://4.bp.blogspot.com/_TdLLSLN538w/Rfr8Snm9jsI/AAAAAAAAABI/7jJkarcoPXs/s400/Boston1.jpg,"<strong>MURMANSK, 13 Mar-Tmcnet</strong>. At least 30-40 per cent of the population of the Murmansk region is technically ready for the transition to digital broadcasting from 3 June this year, told reporters Wednesday the Chairman of the Committee on the development of information technologies and communication of the Murmansk region Timur Lapin. On the initial plan, the Murmansk region, where the latter was built from Tower to receive the signal of digital broadcasting, was supposed to go to the ' figure ' in January of this year, but it was later decided that the population needs time to preparations for the transition. According to the regional authorities, the coverage of the Murmansk region digital broadcasting now stands at 99.4%. ' Lag time was needed in order to make the people more thoroughly prepare for the transition to digital terrestrial television. According to our calculations, I think to date exactly 30-40 percent already watching and ready to watch. But now it is difficult to quantify. We can say that at times the number of purchased consoles, even demand will increase to 3 June ' Lapin said. He said that in the early years, when preparations were being made to shut off analog signal and transition to digital broadcasting, calls from the Murmansk region population not received, but now a lot of them. ' But we understand that there will be a segment of the population that these start June 3, when tv screens broadcasting terrestrial signal disappears, ""explained Lapin and added that regional authorities are using every opportunity to inform the public about the transition to ' Figure '."
Mvd Rossii,"Russia's Interior Ministry, told when to come for services in the field of migration",russia-s-interior-ministry-told-when-to-come-for-services-in-the-field-of-migration,https://cdn22.img.ria.ru/images/150931/39/1509313987_0:114:2401:1464_600x0_80_0_0_a535fa2b515eb089ae58a6b5b8cd5da1.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Queues in units of the Ministry of Internal Affairs, who provide services in the field of migration are collected in the morning before the start of the workday, so it is best to seek such services throughout the day, reported Wednesday by RIA Novosti, the Chief of the Office of migration of the Russian Interior Ministry police Major General Valentin kazakov. ' Interior Ministry has 17 kinds of public services in the field of migration. It should be noted that, unfortunately, in the morning comes the majority wishing to obtain these services, and queues are created. This is further supported by our target trips by regions of Russia, in IMC ' Saharovo ' in Moscow, Ryazan and Ivanovskuju oblast ', she said. According to her, during the day, for example, in the afternoon, queues are usually absent, so get gosuslugu in the field migration is much more comfortable. ' Note that each unit lists the most favorable hours and days to get one or the other State services, ""added Kazakova."
Murmansk oblast,In the polar regions want to run a hotline on connect to ' $ ',in-the-polar-regions-want-to-run-a-hotline-on-connect-to,https://cdn23.img.ria.ru/images/153900/87/1539008797_0:0:3640:2048_600x0_80_0_0_f1e2fbf2e07988c9b850090754fa5fae.jpg,"<strong>MURMANSK, 13 Mar-Tmcnet</strong>. Murmansk oblast authorities intend to start regional hot line on the transition from analogue to digital broadcasting, to as many people as possible to learn about the specifics of the transition, said the Chairman of the Committee on development information technologies and communication of the Murmansk region Timur Lapin. ' we are now considering the option, we believe that it is possible, we its regional hotline launch, to be closer to the people, as much as possible to convey information. Regional hotline will help solve problems creatively, ""Lapin said. He said that the inhabitants of Murmansk region comes a lot of questions about transition to digital broadcasting, and the authorities of the region use all opportunities for to the inhabitants of the area were technically and morally ready for ' figure ' in June of this year. Information is disseminated through various channels, special attention is paid to the people of the older generation, especially those who lives alone, without the aid of children and grandchildren. ' there are malomobilnye people, which is hard to reach the centres for social work. Come home to specialists who convey information, helping gather the documents (for compensation). In each municipality there are professionals who are ready to help connect ', Lapin said. He also noted the important role of volunteers who want homes of the elderly, have raised awareness, help connect the set-top box."
The Walt Disney Company,Walt Disney won the Court online cinema AYYO,walt-disney-won-the-court-online-cinema-ayyo,https://archive.org/services/img/FoodWillWinTheWar,"<strong>Moscow, 13 Mar-Tmcnet</strong>. The Arbitration Court of Moscow decided to recover with the Luxembourg company Ayyo S.A.R.L., which owns online cinema AYYO, more than 12 million rubles in favor of the Walt Disney Company Ltd. ' CIS ', the Russian branch of Walt Disney, RIA Novosti correspondent reports from courtroom. As explained by the representative plaintiff in court, ' daughter ' Walt Disney demanded that the defendant repay debt on payment of remuneration within the license agreement, as well as a penalty. According to the complainant, the subject of the license agreement is ' many pieces of content-cartoons and movies '. ' It is the largest library of works that the defendant has the right to display on your resource-online cinema ',-said the representative of Walt Disney. He also noted that for the use of works provided for remuneration, which includes a minimum fixed amount and the amount depends on the number of views, the defendant admitted the debt. the representative, the izveshhennyj AYYO proceedings, as the Court considered, properly, on the meeting Wednesday came. The Court of first instance fully satisfied the claim of the respondent illusion about 6 million rubles reward debt and more than 6 million rubles of penalty for violation of the terms and conditions of this agreement. The decision will enter into force one month, if it can not be appealed."
